EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
363.23689222335815,181,3,PLAY,Writing,128503.0
365.39334654808044,183,4,PLAY,Writing,378355.0
365.9603087902069,184,3,PLAY,StillPlaying,128503.0
369.9617853164673,188,2,PLAY,StillPlaying,378355.0
373.9619069099426,192,1,PLAY,StillPlaying,128503.0
377.9605267047882,196,0,PLAY,StillPlaying,378355.0
381.8433573246002,199,1,PLAY,Writing,128503.0
381.9600188732147,200,0,PLAY,StillPlaying,128503.0
385.9610011577606,204,0,BUFFERING,Play-Buffering,0
427.0681848526001,204,1,PLAY,Writing,378355.0
427.06879901885986,204,1,PLAY,Buffering-Play,0
427.07631182670593,204,0,PLAY,StillPlaying,378355.0
427.66103649139404,204,1,PLAY,Writing,128503.0
428.61411452293396,205,2,PLAY,Writing,128503.0
429.35136222839355,206,3,PLAY,Writing,128503.0
430.106929063797,207,4,PLAY,Writing,128503.0
430.60269808769226,207,5,PLAY,Writing,128503.0
431.0760233402252,208,4,PLAY,StillPlaying,128503.0
432.6373381614685,209,5,PLAY,Writing,378355.0
435.02538657188416,211,6,PLAY,Writing,577751.0
435.0796914100647,212,5,PLAY,StillPlaying,128503.0
439.07614254951477,216,4,PLAY,StillPlaying,128503.0
439.7651960849762,216,5,PLAY,Writing,1473801.0
442.08737349510193,219,6,PLAY,Writing,577751.0
443.07623291015625,220,5,PLAY,StillPlaying,128503.0
447.0763008594513,224,4,PLAY,StillPlaying,128503.0
448.2833001613617,225,5,PLAY,Writing,1473801.0
451.0767102241516,228,4,PLAY,StillPlaying,378355.0
451.1929852962494,228,5,PLAY,Writing,577751.0
455.0760462284088,232,4,PLAY,StillPlaying,577751.0
457.5443229675293,234,5,PLAY,Writing,1473801.0
459.0763039588928,236,4,PLAY,StillPlaying,1473801.0
460.8258378505707,237,5,PLAY,Writing,577751.0
463.0766007900238,240,4,PLAY,StillPlaying,577751.0
467.0761709213257,244,3,PLAY,StillPlaying,1473801.0
468.9518687725067,245,4,PLAY,Writing,1473801.0
471.0760576725006,248,3,PLAY,StillPlaying,577751.0
471.40424370765686,248,4,PLAY,Writing,577751.0
475.07608795166016,252,3,PLAY,StillPlaying,1473801.0
479.07875418663025,256,3,PLAY,Writing,1473801.0
479.07837319374084,256,3,PLAY,StillPlaying,577751.0
481.9647662639618,258,4,PLAY,Writing,577751.0
483.0760862827301,260,3,PLAY,StillPlaying,1473801.0
487.0767021179199,264,2,PLAY,StillPlaying,577751.0
491.0763638019562,268,1,PLAY,StillPlaying,1473801.0
491.11776638031006,268,2,PLAY,Writing,1473801.0
495.0766246318817,272,1,PLAY,StillPlaying,577751.0
495.4664068222046,272,2,PLAY,Writing,577751.0
499.07639837265015,276,1,PLAY,StillPlaying,1473801.0
503.0763609409332,280,0,PLAY,StillPlaying,577751.0
503.6161458492279,280,1,PLAY,Writing,1473801.0
505.93818068504333,282,2,PLAY,Writing,577751.0
507.076384305954,284,1,PLAY,StillPlaying,1473801.0
510.58714532852173,287,2,PLAY,Writing,1473801.0
511.07626485824585,288,1,PLAY,StillPlaying,577751.0
513.6810004711151,290,2,PLAY,Writing,577751.0
515.0763280391693,292,1,PLAY,StillPlaying,1473801.0
519.0763282775879,296,0,PLAY,StillPlaying,577751.0
519.5791821479797,296,1,PLAY,Writing,1473801.0
522.6459624767303,299,2,PLAY,Writing,577751.0
523.0763027667999,300,1,PLAY,StillPlaying,1473801.0
527.0761504173279,304,0,PLAY,StillPlaying,577751.0
529.9682357311249,306,1,PLAY,Writing,1473801.0
531.0761213302612,308,0,PLAY,StillPlaying,1473801.0
533.3341073989868,310,1,PLAY,Writing,577751.0
535.0763499736786,312,0,PLAY,StillPlaying,577751.0
539.0763309001923,316,0,BUFFERING,Play-Buffering,0
545.4247932434082,316,1,BUFFERING,Writing,1473801.0
545.4266691207886,316,1,PLAY,Buffering-Play,0
545.4271621704102,316,0,PLAY,StillPlaying,1473801.0
548.1693811416626,318,1,PLAY,Writing,577751.0
549.4273574352264,320,0,PLAY,StillPlaying,577751.0
553.4273569583893,324,0,BUFFERING,Play-Buffering,0
556.9458627700806,324,1,BUFFERING,Writing,1473801.0
556.9574010372162,324,1,PLAY,Buffering-Play,0
